+-----+-----------------------------------------------------------+----------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                                             | Biome name                 | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
+-----+-----------------------------------------------------------+----------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|   0 | minecraft:ocean                                           | Ocean                      |  0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      |                            |
|   0 | openterraingenerator:overworld_ocean                      | Ocean                      |  0.22 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
|   0 | openterraingenerator:overworld_ocean_birch_forest         | Ocean Birch Forest         |  0.22 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
|   0 | openterraingenerator:overworld_ocean_canopy               | Ocean Canopy               |  0.22 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
|   0 | openterraingenerator:overworld_ocean_e                    | Ocean E                    |  0.22 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
|   0 | openterraingenerator:overworld_ocean_forest               | Ocean Forest               |  0.22 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
|   0 | openterraingenerator:overworld_ocean_i                    | Ocean I                    |  0.22 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
|   0 | openterraingenerator:overworld_ocean_jungle               | Ocean Jungle               |  0.30 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
|   0 | openterraingenerator:overworld_ocean_snowy                | Ocean Snowy                |  0.21 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
|   0 | openterraingenerator:xthe frost_ocean                     | Ocean                      |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
|   1 | minecraft:plains                                          | Plains                     |  0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | PLAINS                                                            | spawn, stronghold, village |
|   1 | openterraingenerator:overworld_plains                     | Plains                     |  0.22 | MEDIUM   | 0.40 | false | false   |            | PLAINS                                                            |                            |
|   1 | openterraingenerator:xthe frost_plains                    | Plains                     |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS                                                            | stronghold                 |
|   2 | minecraft:desert                                          | Desert                     |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold, village        |
|   2 | openterraingenerator:overworld_desert                     | Desert                     |  0.22 | MEDIUM   | 0.00 | false | false   |            | DRY, HOT, SANDY                                                   |                            |
|   2 | openterraingenerator:xthe frost_desert                    | Desert                     |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold                 |
|   3 | minecraft:extreme_hills                                   | Extreme Hills              |  0.20 | MEDIUM   | 0.30 | false | false   | COOL, WARM | HILLS, MOUNTAIN                                                   | stronghold                 |
|   3 | openterraingenerator:overworld_extreme_hills              | Extreme Hills              |  0.22 | MEDIUM   | 0.30 | false | false   |            | HILLS, MOUNTAIN                                                   |                            |
|   3 | openterraingenerator:xthe frost_extreme_hills             | Extreme Hills              |  0.20 | MEDIUM   | 0.30 | false | false   |            | HILLS, MOUNTAIN                                                   | stronghold                 |
|   4 | minecraft:forest                                          | Forest                     |  0.70 | MEDIUM   | 0.80 | false | false   | COOL, WARM | FOREST                                                            | spawn, stronghold          |
|   4 | openterraingenerator:overworld_forest                     | Forest                     |  0.22 | MEDIUM   | 0.80 | false | false   |            | FOREST                                                            |                            |
|   4 | openterraingenerator:xthe frost_forest                    | Forest                     |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST                                                            | stronghold                 |
|   5 | minecraft:taiga                                           | Taiga                      |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST                                          | spawn, stronghold, village |
|   5 | openterraingenerator:overworld_taiga                      | Taiga                      |  0.22 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST                                          |                            |
|   5 | openterraingenerator:xthe frost_taiga                     | Taiga                      |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST                                          | stronghold                 |
|   6 | minecraft:swampland                                       | Swampland                  |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP, WET                                                        |                            |
|   6 | openterraingenerator:overworld_swampland                  | Swampland                  |  0.22 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WET                                                        |                            |
|   6 | openterraingenerator:xthe frost_swampland                 | Swampland                  |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WET                                                        |                            |
|   7 | minecraft:river                                           | River                      |  0.50 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            |
|   7 | openterraingenerator:overworld_river                      | River                      |  0.22 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            |
|   7 | openterraingenerator:overworld_rocky_desert_r             | Rocky Desert R             |  0.22 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            |
|   7 | openterraingenerator:overworld_snowy_wasteland_r          | Snowy Wasteland R          |  0.22 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            |
|   7 | openterraingenerator:overworld_umbran_deadlands_r         | Umbran Deadlands R         |  0.22 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            |
|   7 | openterraingenerator:xthe frost_river                     | River                      |  0.50 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            |
|   8 | minecraft:hell                                            | Hell                       |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER                                                  | stronghold                 |
|   8 | openterraingenerator:overworld_hell                       | Hell                       |  0.22 | MEDIUM   | 0.00 | false | false   |            | DRY, HOT, NETHER                                                  | stronghold                 |
|   8 | openterraingenerator:xthe frost_hell                      | Hell                       |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER                                                  | stronghold                 |
|   9 | minecraft:sky                                             | The End                    |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, END                                                    | stronghold                 |
|   9 | openterraingenerator:overworld_sky                        | Sky                        |  0.22 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, END                                                    | stronghold                 |
|   9 | openterraingenerator:xthe frost_sky                       | Sky                        |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, END                                                    | stronghold                 |
|  10 | minecraft:frozen_ocean                                    | FrozenOcean                |  0.00 | OCEAN    | 0.50 |  true | true    |            | COLD, OCEAN, SNOWY, WATER                                         |                            |
|  10 | openterraingenerator:overworld_frozenocean                | FrozenOcean                |  0.22 | MEDIUM   | 0.50 | false | false   |            | COLD, OCEAN, SNOWY, WATER                                         |                            |
|  10 | openterraingenerator:xthe frost_frozenocean               | FrozenOcean                |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, OCEAN, SNOWY, WATER                                         |                            |
|  11 | minecraft:frozen_river                                    | FrozenRiver                |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER                                         |                            |
|  11 | openterraingenerator:overworld_frozenriver                | FrozenRiver                |  0.22 | MEDIUM   | 0.50 | false | false   |            | COLD, RIVER, SNOWY, WATER                                         |                            |
|  11 | openterraingenerator:xthe frost_frozenriver               | FrozenRiver                |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER                                         |                            |
|  12 | minecraft:ice_flats                                       | Ice Plains                 |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, SNOWY, WASTELAND                                            | stronghold                 |
|  12 | openterraingenerator:overworld_ice_plains                 | Ice Plains                 |  0.22 | MEDIUM   | 0.50 | false | false   |            | COLD, SNOWY, WASTELAND                                            |                            |
|  12 | openterraingenerator:xthe frost_ice_plains                | Ice Plains                 |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, SNOWY, WASTELAND                                            | stronghold                 |
|  13 | minecraft:ice_mountains                                   | Ice Mountains              |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, MOUNTAIN, SNOWY                                             | stronghold                 |
